RANK,PLAYER,PLAYER,POS,TEAM,BYE,CMP,ATT,CMP%,Y/A,PassingYDS,PassingTD,PassingINT,RushingAttempts,RushingYDS,RushingY/A,RushingTD,ReceivingTargets,ReceivingREC,ReceivingYDS,ReceivingY/R,ReceivingTD,Interceptions,FumbleRecoveries,Sacks,DefensiveTD,PointsAgainst,FPTS
39,Saquon Barkley,Saquon Barkley,RB,NYG,10,,,,,0,0,0,244,1065,4.4,9.1,70,51,380,7.5,1.5,,,,,,208
40,Aaron Jones,Aaron Jones,RB,GB,13,,,,,0,0,0,203,973,4.8,7.3,80,60,472,7.8,3,,,,,,206.3
41,Tyrod Taylor,Tyrod Taylor,QB,HOU,10,259,422,61.5,6.5,2742,16.2,11,75,351,4.7,2.7,,1,11,,0.2,,,,,,206
42,Joe Mixon,Joe Mixon,RB,CIN,10,,,,,0,0,0,253,1067,4.2,8.1,57,47,351,7.4,2.4,,,,,,204.8
43,Stefon Diggs,Stefon Diggs,WR,BUF,7,,,,,15,0.3,0,1,7,5.5,0.1,162,110,1406,12.8,9.5,,,,,,200.7
44,Davante Adams,Davante Adams,WR,GB,13,,,,,0,0,0,1,6,6.8,0,157,106,1311,12.4,11.4,,,,,,200.1
45,Ezekiel Elliott,Ezekiel Elliott,RB,DAL,7,,,,,0,0,0,248,985,4,8.2,72,55,394,7.2,2.1,,,,,,199.8
46,Antonio Gibson,Antonio Gibson,RB,WAS,9,,,,,0,0,0,221,958,4.3,8.1,69,45,364,8.1,2,,,,,,192.8
47,Calvin Ridley,Calvin Ridley,WR,ATL,6,,,,,0,0,0,2,10,5.8,0.1,159,104,1365,13.1,8.9,,,,,,191.6
48,James Robinson,James Robinson,RB,JAC,7,,,,,0,0,0,232,987,4.3,7.6,61,46,354,7.7,1.7,,,,,,189.9
49,DK Metcalf,DK Metcalf,WR,SEA,9,,,,,0,0,0,2,12,7,0,150,97,1297,13.3,9.3,,,,,,186.7
50,Najee Harris,Najee Harris,RB,PIT,7,,,,,17,0.3,0,224,1037,4.6,8.2,43,33,240,7.2,1.3,,,,,,186.6
51,Travis Kelce,Travis Kelce,TE,KC,12,,,,,11,0.4,0,1,4,2.8,0.3,151,105,1261,12,9.1,,,,,,184.9
52,Josh Jacobs,Josh Jacobs,RB,LV,8,,,,,0,0,0,265,1101,4.2,9.3,34,20,157,7.8,0.3,,,,,,183.4
53,Justin Jefferson,Justin Jefferson,WR,MIN,7,,,,,0,0,0,4,37,8.8,0.4,136,93,1291,13.9,7.6,,,,,,180.8
54,David Montgomery,David Montgomery,RB,CHI,10,,,,,4,0.1,0,242,1033,4.3,8.2,34,26,198,7.7,0.9,,,,,,178.2
55,A.J. Brown,A.J. Brown,WR,TEN,13,,,,,13,0.1,0,4,32,7.3,0.5,140,88,1195,13.6,8.4,,,,,,177
56,DeAndre Hopkins,DeAndre Hopkins,WR,ARI,12,,,,,4,0.1,0,1,9,6.1,0,158,106,1293,12.2,7.5,,,,,,175.8
57,Miles Sanders,Miles Sanders,RB,PHI,14,,,,,0,0,0,210,916,4.4,7.5,54,33,285,8.7,1.2,,,,,,172.3
57,D'Andre Swift,D'Andre Swift,RB,DET,9,,,,,0,0,0,200,911,4.6,5.8,70,46,350,7.6,1.9,,,,,,172.3
59,Austin Ekeler,Austin Ekeler,RB,LAC,7,,,,,0,0,0,163,681,4.2,4.5,94,72,573,7.9,3.2,,,,,,171.6
60,Clyde Edwards-Helaire,Clyde Edwards-Helaire,RB,KC,12,,,,,0,0,0,189,826,4.4,5.9,64,46,360,7.8,2.8,,,,,,170.8
61,CeeDee Lamb,CeeDee Lamb,WR,DAL,7,,,,,0,0,0,5,43,8.2,0.6,128,85,1192,14,6.9,,,,,,168.6
62,Keenan Allen,Keenan Allen,WR,LAC,7,,,,,0,0,0,2,11,6.1,0,158,106,1217,11.5,7.6,,,,,,168.4
63,Robert Woods,Robert Woods,WR,LAR,11,,,,,0,0,0,16,85,5.1,0.8,153,97,1169,12.1,6.1,,,,,,166.8
64,Cooper Kupp,Cooper Kupp,WR,LAR,11,,,,,0,0,0,2,7,4.1,0.1,140,92,1125,12.2,8.4,,,,,,164.2
65,Damien Harris,Damien Harris,RB,NE,14,,,,,9,0.1,0,215,962,4.5,8.6,24,15,126,8.2,0.5,,,,,,164.1
66,Gus Edwards,Gus Edwards,RB,BAL,8,,,,,0,0,0,205,972,4.7,7.7,24,19,150,7.9,0.9,,,,,,163.8
67,Darren Waller,Darren Waller,TE,LV,8,,,,,0,0,0,1,6,6.4,0,140,96,1186,12.3,7,,,,,,161.2
68,Amari Cooper,Amari Cooper,WR,DAL,7,,,,,15,0.5,0,3,9,2.9,0.1,130,84,1132,13.4,7.2,,,,,,160.5
69,Terry McLaurin,Terry McLaurin,WR,WAS,9,,,,,8,0.1,0,2,11,5.2,0.1,128,78,1103,14.2,7.2,,,,,,156
70,Mike Evans,Mike Evans,WR,TB,9,,,,,0,0,0,1,7,8.1,0.1,121,79,1002,12.6,8.9,,,,,,155
71,Chris Carson,Chris Carson,RB,SEA,9,,,,,0,0,0,187,854,4.6,5.3,45,36,256,7.1,1.9,,,,,,154.2
72,Chris Godwin,Chris Godwin,WR,TB,9,,,,,0,0,0,1,9,7,0.2,121,84,1066,12.7,7.1,,,,,,151.3
73,Julio Jones,Julio Jones,WR,TEN,13,,,,,0,0,0,0,0,--,0,135,85,1106,13,6.7,,,,,,150.8
74,Brandon Aiyuk,Brandon Aiyuk,WR,SF,6,,,,,0,0,0,3,14,5.3,0.2,127,78,1070,13.7,6.6,,,,,,149.3
75,Tee Higgins,Tee Higgins,WR,CIN,10,,,,,13,0.2,0.1,9,54,6.2,0.4,126,78,999,12.9,6.6,,,,,,148.5
76,Tyler Lockett,Tyler Lockett,WR,SEA,9,,,,,0,0,0,2,10,4.7,0,128,82,1027,12.5,7.4,,,,,,148.1
77,Allen Robinson II,Allen Robinson II,WR,CHI,10,,,,,4,0,0,1,4,4.6,0,143,86,1088,12.6,6.4,,,,,,147.8
78,,Harrison Butker,K,KC,12,,,,,--,--,--,,--,,--,,--,--,,--,,,,,,147.5
78,Javonte Williams,Javonte Williams,RB,DEN,11,,,,,0,0,0,195,857,4.4,6.4,38,25,197,7.9,0.6,,,,,,147.5
80,,Greg Zuerlein,K,DAL,7,,,,,--,--,--,,--,,--,,--,--,,--,,,,,,147.2
81,,Ryan Succop,K,TB,9,,,,,--,--,--,,--,,--,,--,--,,--,,,,,,144.6
81,,Younghoe Koo,K,ATL,6,,,,,--,--,--,,--,,--,,--,--,,--,,,,,,144.6
83,DJ Moore,DJ Moore,WR,CAR,13,,,,,0,0,0,5,23,4.6,0.2,137,83,1068,12.9,5.7,,,,,,144.5
84,,Daniel Carlson,K,LV,8,,,,,--,--,--,,--,,--,,--,--,,--,,,,,,144.2
85,Mike Davis,Mike Davis,RB,ATL,6,,,,,5,0.1,0,193,757,3.9,6.3,41,31,224,7.2,1.1,,,,,,143.1
86,,Jason Sanders,K,MIA,14,,,,,--,--,--,,--,,--,,--,--,,--,,,,,,142
87,Adam Thielen,Adam Thielen,WR,MIN,7,,,,,0,0,0,4,22,5.8,0.3,106,69,892,13,8,,,,,,141.1
88,Melvin Gordon III,Melvin Gordon III,RB,DEN,11,,,,,8,0.2,0,199,823,4.1,6.2,42,28,166,6,0.6,,,,,,140.8
89,Darrell Henderson Jr.,Darrell Henderson Jr.,RB,LAR,11,,,,,0,0,0,161,668,4.2,5.8,50,33,276,8.3,1.9,,,,,,140.6
90,Trey Sermon,Trey Sermon,RB,SF,6,,,,,0,0,0,169,732,4.3,6.1,36,25,205,8.2,1.7,,,,,,140.5
91,,Justin Tucker,K,BAL,8,,,,,--,--,--,,--,,--,,--,--,,--,,,,,,140.3
92,Raheem Mostert,Raheem Mostert,RB,SF,6,,,,,0,0,0,158,683,4.3,5.9,41,30,243,8.2,2,,,,,,140
93,,Tyler Bass,K,BUF,7,,,,,--,--,--,,--,,--,,--,--,,--,,,,,,139.6
