RANK,PLAYER,PLAYER,POS,TEAM,BYE,CMP,ATT,CMP%,Y/A,PassingYDS,PassingTD,PassingINT,RushingAttempts,RushingYDS,RushingY/A,RushingTD,ReceivingTargets,ReceivingREC,ReceivingYDS,ReceivingY/R,ReceivingTD,Interceptions,FumbleRecoveries,Sacks,DefensiveTD,PointsAgainst,FPTS
191,Elijah Moore,Elijah Moore,WR,NYJ,6,,,,,0,0,0,6,46,7.3,0.2,103,56,684,12.2,4,,,,,,98.1
192,,Minnesota Vikings,DST,MIN,7,,,,,--,--,--,,--,,--,,--,--,,--,13.9,8.5,33.9,2.8,24.4,97.9
193,Taysom Hill,Taysom Hill,QB,NO,6,44,72,61.3,6.8,489,2.1,1.2,60,273,4.5,3.2,,12,143,,1.9,,,,,,97.7
194,,Carolina Panthers,DST,CAR,13,,,,,--,--,--,,--,,--,,--,--,,--,10.9,10.8,35.7,3,24.9,97.5
195,Michael Carter,Michael Carter,RB,NYJ,6,,,,,0,0,0,136,553,4.1,3.1,40,26,198,7.5,0.6,,,,,,97.2
196,,Dallas Cowboys,DST,DAL,7,,,,,--,--,--,,--,,--,,--,--,,--,12.5,10,37.3,3.2,26.1,97.1
197,Phillip Lindsay,Phillip Lindsay,RB,HOU,10,,,,,0,0,0,142,571,4,3.6,28,19,137,7.2,0.7,,,,,,96.6
197,Tony Pollard,Tony Pollard,RB,DAL,7,,,,,0,0,0,116,490,4.2,3.9,37,25,182,7.2,1,,,,,,96.6
199,Kendrick Bourne,Kendrick Bourne,WR,NE,14,,,,,0,0,0,12,71,6.1,0.3,79,45,602,13.4,4.3,,,,,,94.9
200,Nyheim Hines,Nyheim Hines,RB,IND,14,,,,,0,0,0,87,365,4.2,1.9,62,50,366,7.3,1.7,,,,,,94.7
201,,Los Angeles Chargers,DST,LAC,7,,,,,--,--,--,,--,,--,,--,--,,--,14.6,8.2,34.4,2.9,25.7,94.6
201,Salvon Ahmed,Salvon Ahmed,RB,MIA,14,,,,,0,0,0,120,518,4.3,4.4,20,18,140,7.6,0.4,,,,,,94.6
203,Gabriel Davis,Gabriel Davis,WR,BUF,7,,,,,0,0,0,3,18,5.9,0.3,72,43,633,14.7,4.6,,,,,,94.5
204,Tyler Higbee,Tyler Higbee,TE,LAR,11,,,,,0,0,0,1,4,4.4,0.3,88,59,660,11.1,4.3,,,,,,93.9
205,Logan Thomas,Logan Thomas,TE,WAS,9,,,,,13,0.1,0,0,0,--,0,87,53,579,11,5.8,,,,,,93.6
206,,Atlanta Falcons,DST,ATL,6,,,,,--,--,--,,--,,--,,--,--,,--,11.5,9.5,34.2,2.9,25.1,93.2
207,Russell Gage,Russell Gage,WR,ATL,6,,,,,0,0,0,2,14,6.3,0.1,85,56,685,12.3,3.7,,,,,,92.7
208,DeVante Parker,DeVante Parker,WR,MIA,14,,,,,0,0,0,3,18,5.8,0.1,93,55,680,12.3,3.7,,,,,,92.6
209,Tyrell Williams,Tyrell Williams,WR,DET,9,,,,,0,0,0,1,4,4,0,89,50,690,13.7,3.8,,,,,,92.1
210,Jakobi Meyers,Jakobi Meyers,WR,NE,14,,,,,0,0,0,3,20,7.3,0.2,91,57,705,12.4,3,,,,,,91.7
211,Allen Lazard,Allen Lazard,WR,GB,13,,,,,0,0,0,3,18,7,0,71,41,649,15.7,4.1,,,,,,91.3
212,Sterling Shepard,Sterling Shepard,WR,NYG,10,,,,,0,0,0,3,17,5.7,0.3,88,55,599,10.9,4.6,,,,,,91.1
213,Alexander Mattison,Alexander Mattison,RB,MIN,7,,,,,0,0,0,109,510,4.7,3.6,24,18,155,8.5,0.4,,,,,,90.6
214,Tevin Coleman,Tevin Coleman,RB,NYJ,6,,,,,0,0,0,119,479,4,3.6,34,24,175,7.1,0.5,,,,,,89.9
215,Dallas Goedert,Dallas Goedert,TE,PHI,14,,,,,0,0,0,0,0,--,0,96,57,676,11.9,3.6,,,,,,89.2
216,,Jacksonville Jaguars,DST,JAC,7,,,,,--,--,--,,--,,--,,--,--,,--,14.7,8,30.8,3,26.3,89
217,Emmanuel Sanders,Emmanuel Sanders,WR,BUF,7,,,,,0,0,0,0,0,--,0,79,50,628,12.7,4.2,,,,,,88
218,Rashaad Penny,Rashaad Penny,RB,SEA,9,,,,,0,0,0,105,457,4.3,3.7,28,21,146,6.9,0.9,,,,,,87.9
219,Noah Fant,Noah Fant,TE,DEN,11,,,,,0,0,0,1,0,0,0,90,59,643,11,3.9,,,,,,87.7
220,Jonnu Smith,Jonnu Smith,TE,NE,14,,,,,0,0,0,0,0,--,0,75,52,602,11.7,4.5,,,,,,87.2
221,Terrace Marshall Jr.,Terrace Marshall Jr.,WR,CAR,13,,,,,0,0,0,13,57,4.5,0.7,75,47,610,13,2.7,,,,,,87.1
222,David Johnson,David Johnson,RB,HOU,10,,,,,0,0,0,102,402,3.9,2.7,41,28,225,8.1,1.3,,,,,,86.7
222,Hunter Henry,Hunter Henry,TE,NE,14,,,,,0,0,0,0,0,--,0,82,50,597,11.9,4.5,,,,,,86.7
224,Rondale Moore,Rondale Moore,WR,ARI,12,,,,,0,0,0,14,71,5.1,0.6,74,48,542,11.3,3.6,,,,,,86.5
225,Robert Tonyan,Robert Tonyan,TE,GB,13,,,,,0,0,0,0,0,--,0,66,49,540,11.1,5.4,,,,,,86.4
226,Mike Gesicki,Mike Gesicki,TE,MIA,14,,,,,0,0,0,0,0,--,0,74,45,574,12.7,4.6,,,,,,85
226,Darrel Williams,Darrel Williams,RB,KC,12,,,,,0,0,0,86,358,4.1,3.2,41,31,228,7.4,1.2,,,,,,85
226,Quintez Cephus,Quintez Cephus,WR,DET,9,,,,,0,0,0,1,2,1.4,0,85,47,626,13.4,3.7,,,,,,85
229,Josh Palmer,Josh Palmer,WR,LAC,7,,,,,0,0,0,3,7,2.7,0.1,77,42,596,14.1,3.9,,,,,,84.4
230,Justin Jackson,Justin Jackson,RB,LAC,7,,,,,0,0,0,104,405,3.9,3.9,28,20,143,7.2,0.9,,,,,,83.6
231,J.D. McKissic,J.D. McKissic,RB,WAS,9,,,,,0,0,0,64,255,4,1.5,73,50,376,7.5,1.8,,,,,,82.9
232,Evan Engram,Evan Engram,TE,NYG,10,,,,,0,0,0,2,8,3.6,0.2,88,52,643,12.4,2.7,,,,,,82.5
232,Tre'quan Smith,Tre'quan Smith,WR,NO,6,,,,,0,0,0,2,15,7.8,0,76,46,606,13.3,3.4,,,,,,82.5
234,James White,James White,RB,NE,14,,,,,0,0,0,39,163,4.2,1.1,70,49,404,8.3,3.1,,,,,,81.9
234,Austin Hooper,Austin Hooper,TE,CLE,13,,,,,0,0,0,0,0,--,0,81,50,513,10.2,5.1,,,,,,81.9
236,Kadarius Toney,Kadarius Toney,WR,NYG,10,,,,,0,0,0,9,46,4.9,0.6,74,44,524,11.8,3.5,,,,,,81.5
237,Jimmy Garoppolo,Jimmy Garoppolo,QB,SF,6,116,171,67.7,7.9,1344,8.9,5.6,10,19,2,0.2,,0,0,,0,,,,,,81.2
238,Rob Gronkowski,Rob Gronkowski,TE,TB,9,,,,,0,0,0,0,0,--,0,68,44,518,11.7,4.7,,,,,,80
239,Sammy Watkins,Sammy Watkins,WR,BAL,8,,,,,0,0,0,0,0,--,0,76,46,530,11.5,4.4,,,,,,79.4
239,Demarcus Robinson,Demarcus Robinson,WR,KC,12,,,,,0,0,0,0,0,--,0,66,41,488,11.9,5.1,,,,,,79.4
239,Christian Kirk,Christian Kirk,WR,ARI,12,,,,,0,0,0,2,13,6.7,0,75,47,596,12.6,3.1,,,,,,79.4
242,Jamison Crowder,Jamison Crowder,WR,NYJ,6,,,,,11,0.2,0,2,14,5.6,0.2,87,51,585,11.4,2.8,,,,,,79.2
242,Ty'Son Williams,Ty'Son Williams,RB,BAL,8,,,,,0,0,0,94,433,4.6,3.2,23,17,137,8.1,0.5,,,,,,79.2
244,Malcolm Brown,Malcolm Brown,RB,MIA,14,,,,,0,0,0,88,325,3.7,3.4,37,25,197,7.8,1,,,,,,78.6
245,Zach Ertz,Zach Ertz,TE,PHI,14,,,,,0,0,0,0,0,--,0,61,41,532,12.9,4.2,,,,,,78.4
246,,Detroit Lions,DST,DET,9,,,,,--,--,--,,--,,--,,--,--,,--,11.4,7.4,30.5,2.7,26.5,78.3
247,Carlos Hyde,Carlos Hyde,RB,JAC,7,,,,,0,0,0,115,439,3.8,3.1,20,14,105,7.4,0.6,,,,,,76.7
247,Parris Campbell,Parris Campbell,WR,IND,14,,,,,0,0,0,2,20,10.6,0,71,45,530,11.8,3.6,,,,,,76.7
247,Nico Collins,Nico Collins,WR,HOU,10,,,,,0,0,0,2,11,6.1,0.2,79,45,553,12.3,3.2,,,,,,76.7
250,Jalen Guyton,Jalen Guyton,WR,LAC,7,,,,,0,0,0,4,25,5.8,0.6,60,42,539,12.9,2.7,,,,,,76.3
251,Chatarius Atwell,Chatarius Atwell,WR,LAR,11,,,,,0,0,0,5,26,5.6,0.2,76,46,543,11.9,3,,,,,,76.2
252,Jared Cook,Jared Cook,TE,LAC,7,,,,,0,0,0,0,0,--,0,75,48,520,10.8,4,,,,,,76
252,Gerald Everett,Gerald Everett,TE,SEA,9,,,,,0,0,0,0,2,5,0,68,47,470,10.1,4.8,,,,,,76
254,Giovani Bernard,Giovani Bernard,RB,TB,9,,,,,0,0,0,68,308,4.5,1.6,50,36,262,7.3,1.5,,,,,,75.6
255,Marquez Valdes-Scantling,Marquez Valdes-Scantling,WR,GB,13,,,,,0,0,0,2,14,6.4,0,71,41,549,13.4,3.2,,,,,,75.5
256,Dawson Knox,Dawson Knox,TE,BUF,7,,,,,5,0,0,0,2,4.5,0,65,42,479,11.5,4.5,,,,,,75.2
257,,Houston Texans,DST,HOU,10,,,,,--,--,--,,--,,--,,--,--,,--,11.9,7.4,30.2,2.7,27.5,75
258,Adam Trautman,Adam Trautman,TE,NO,6,,,,,0,0,0,0,0,--,0,64,41,485,11.8,4.4,,,,,,74.9
259,Hayden Hurst,Hayden Hurst,TE,ATL,6,,,,,0,0,0,0,0,--,0,69,50,576,11.5,2.8,,,,,,74.4
260,Wayne Gallman,Wayne Gallman,RB,ATL,6,,,,,0,0,0,112,441,3.9,3.2,16,13,90,6.8,0.3,,,,,,74.1
261,A.J. Green,A.J. Green,WR,ARI,12,,,,,0,0,0,0,0,--,0,74,45,524,11.6,3.6,,,,,,74
262,Anthony McFarland Jr.,Anthony McFarland Jr.,RB,PIT,7,,,,,0,0,0,90,380,4.2,2.2,29,24,170,7,0.9,,,,,,73.6
263,,Cincinnati Bengals,DST,CIN,10,,,,,--,--,--,,--,,--,,--,--,,--,14,7.1,25.4,2.7,27.7,73
264,D'Wayne Eskridge,D'Wayne Eskridge,WR,SEA,9,,,,,0,0,0,5,36,7.8,0,56,39,448,11.6,4.1,,,,,,72.9
265,Rashard Higgins,Rashard Higgins,WR,CLE,13,,,,,0,0,0,0,0,--,0,56,35,554,16,2.9,,,,,,72.8
266,Van Jefferson,Van Jefferson,WR,LAR,11,,,,,0,0,0,2,7,4.1,0,67,44,568,12.8,2.4,,,,,,71.9
267,Amon-Ra St. Brown,Amon-Ra St. Brown,WR,DET,9,,,,,0,0,0,1,4,4,0,74,46,533,11.5,2.9,,,,,,71.1
268,Rashod Bateman,Rashod Bateman,WR,BAL,8,,,,,0,0,0,4,26,6.7,0.2,57,32,424,13,4.1,,,,,,70.8
269,Darius Slayton,Darius Slayton,WR,NYG,10,,,,,0,0,0,1,8,5.8,0.1,76,44,528,12,2.5,,,,,,69.1
270,Quez Watkins,Quez Watkins,WR,PHI,14,,,,,0,0,0,2,16,6.4,0.1,66,37,479,13,3.1,,,,,,68.7
271,Mark Ingram II,Mark Ingram II,RB,HOU,10,,,,,0,0,0,105,407,3.9,2.8,18,11,77,6.9,0.5,,,,,,68.3
271,Benny Snell Jr.,Benny Snell Jr.,RB,PIT,7,,,,,0,0,0,89,363,4.1,3,19,17,116,6.8,0.4,,,,,,68.3
273,Olamide Zaccheaus,Olamide Zaccheaus,WR,ATL,6,,,,,0,0,0,4,12,2.8,0,83,49,490,10,3,,,,,,68.2
273,Darrynton Evans,Darrynton Evans,RB,TEN,13,,,,,0,0,0,73,321,4.4,1.2,37,27,217,8,1.2,,,,,,68.2
275,Blake Jarwin,Blake Jarwin,TE,DAL,7,,,,,0,0,0,0,0,--,0,63,48,470,9.8,3.4,,,,,,67.4
276,Byron Pringle,Byron Pringle,WR,KC,12,,,,,0,0,0,0,0,--,0,57,39,445,11.5,3.8,,,,,,67.3
277,Anthony Firkser,Anthony Firkser,TE,TEN,13,,,,,0,0,0,0,0,--,0,61,39,425,11,4.1,,,,,,67.1
278,T.Y. Hilton,T.Y. Hilton,WR,IND,14,,,,,0,0,0,3,25,8.5,0,61,35,471,13.5,2.7,,,,,,65.7
278,Tony Jones Jr.,Tony Jones Jr.,RB,NO,6,,,,,0,0,0,81,332,4.1,2.4,28,18,139,7.7,0.7,,,,,,65.7
280,Devontae Booker,Devontae Booker,RB,NYG,10,,,,,0,0,0,77,315,4.1,2.4,23,16,112,6.9,1.4,,,,,,65.5
281,Damien Williams,Damien Williams,RB,CHI,10,,,,,0,0,0,77,316,4.1,1.6,35,22,163,7.4,1.3,,,,,,65.3
282,Mo Alie-Cox,Mo Alie-Cox,TE,IND,14,,,,,0,0,0,1,2,1.6,1.1,60,34,347,10.2,3.9,,,,,,65
283,,Las Vegas Raiders,DST,LV,8,,,,,--,--,--,,--,,--,,--,--,,--,10.6,6,24.5,2.2,26.7,64.1
284,Latavius Murray,Latavius Murray,RB,NO,6,,,,,0,0,0,88,343,3.9,2.6,22,16,117,7.1,0.4,,,,,,64
284,Kenneth Gainwell,Kenneth Gainwell,RB,PHI,14,,,,,0,0,0,74,305,4.1,2.1,26,21,167,8,0.7,,,,,,64
286,Cole Kmet,Cole Kmet,TE,CHI,10,,,,,0,0,0,0,0,--,0,66,40,399,10,4,,,,,,63.9
287,Jalen Reagor,Jalen Reagor,WR,PHI,14,,,,,0,0,0,1,5,4.6,0.1,60,34,448,13.1,2.9,,,,,,63.3
288,Cordarrelle Patterson,Cordarrelle Patterson,RB,ATL,6,,,,,0,0,0,74,304,4.1,2.2,33,23,171,7.5,0.4,,,,,,63.2
289,KJ Hamler,KJ Hamler,WR,DEN,11,,,,,0,0,0,6,24,4.3,0,62,33,422,12.8,3,,,,,,62.6
290,Irv Smith Jr.,Irv Smith Jr.,TE,MIN,7,,,,,0,0,0,0,0,--,0,55,39,426,11,3.3,,,,,,62.4
291,Chris Conley,Chris Conley,WR,HOU,10,,,,,0,0,0,4,9,2.3,0.1,69,42,461,10.9,2.4,,,,,,62
292,Marcus Mariota,Marcus Mariota,QB,LV,8,67,103,64.6,7.8,808,4.6,1.7,15,68,4.5,1.1,,0,0,,0,,,,,,60.7
293,Josh Reynolds,Josh Reynolds,WR,TEN,13,,,,,0,0,0,2,11,5.7,0.1,59,37,430,11.7,2.6,,,,,,60.3
294,Tyler Conklin,Tyler Conklin,TE,MIN,7,,,,,0,0,0,0,0,--,0,51,34,386,11.3,3.5,,,,,,59.6
295,Anthony Miller,Anthony Miller,WR,HOU,10,,,,,0,0,0,0,0,--,0,63,38,454,12,2.3,,,,,,59.2
295,Ty Johnson,Ty Johnson,RB,NYJ,6,,,,,0,0,0,88,341,3.9,2.4,18,14,95,6.9,0.2,,,,,,59.2
297,Samaje Perine,Samaje Perine,RB,CIN,10,,,,,0,0,0,67,266,3.9,2,28,21,155,7.3,0.8,,,,,,58.9
298,Jack Doyle,Jack Doyle,TE,IND,14,,,,,0,0,0,0,0,--,0,53,32,385,12,3.3,,,,,,58.3
299,Boston Scott,Boston Scott,RB,PHI,14,,,,,0,0,0,79,303,3.9,2,22,15,118,8.1,0.6,,,,,,57.7
300,Drew Sample,Drew Sample,TE,CIN,10,,,,,0,0,0,0,0,--,0,61,42,408,9.8,2.8,,,,,,57.6
36,Andy Dalton,,QB,CHI,10,80,127,63.3,6.7,848,6.1,4,8,18,2.2,0.1,,,,,,,,,,,52.8
37,Davis Mills,,QB,HOU,10,70,120,57.9,6.4,764,4.2,3.3,18,62,3.4,0.5,,,,,,,,,,,49.9
38,P.J. Walker,,QB,CAR,13,38,63,61,6.7,422,1.9,1.3,18,94,5.3,1.1,,,,,,,,,,,37.8
39,Drew Lock,,QB,DEN,11,42,72,58.6,6.9,501,3.5,2.4,7,26,3.9,0.2,,,,,,,,,,,33.1
40,Jacoby Brissett,,QB,MIA,14,34,52,64,7.1,373,2.2,0.9,14,64,4.8,0.6,,,,,,,,,,,31.9
41,Jacob Eason,,QB,IND,14,34,56,61.2,6.5,362,2.3,1.5,10,31,3.3,0.4,,,,,,,,,,,26.2
42,Kyle Allen,,QB,WAS,9,32,54,60.5,6.5,351,2.1,1.1,4,20,4.7,0.1,,,,,,,,,,,22.9
43,Logan Woodside,,QB,TEN,13,20,34,58,6.9,238,1.5,0.8,8,36,4.3,0.4,,,,,,,,,,,20
44,Cooper Rush,,QB,DAL,7,25,40,62.3,6.9,278,1.4,1,8,27,3.6,0.3,,,,,,,,,,,19.2
45,Mike Glennon,,QB,NYG,10,26,43,61.4,6.5,276,1.5,0.9,6,23,3.8,0.2,,,,,,,,,,,18.7
46,Jordan Love,,QB,GB,13,17,26,65.1,6.9,177,1.3,0.8,17,61,3.6,0.3,,,,,,,,,,,18.5
47,John Wolford,,QB,LAR,11,19,31,60.7,7.1,218,1.4,0.9,5,32,6.2,0.4,,,,,,,,,,,18.1
48,Jarrett Stidham,,QB,NE,14,20,32,61,6.8,220,1.2,0.7,5,20,4,0.4,,,,,,,,,,,16.6
49,Chad Henne,,QB,KC,12,19,30,65.3,7.1,212,1.6,0.7,5,19,3.7,0.2,,,,,,,,,,,16.5
50,Kyle Trask,,QB,TB,9,20,33,62.3,6.5,213,1.9,1.1,3,11,3.2,0.1,,,,,,,,,,,15.6
51,Tyler Huntley,,QB,BAL,8,19,34,55.9,6.5,222,1.2,1.1,7,28,4,0.2,,,,,,,,,,,15.5
52,Mitchell Trubisky,,QB,BUF,7,23,38,61.1,7,264,1.4,1.2,4,2,0.5,0.1,,,,,,,,,,,14.5
53,Mike White,,QB,NYJ,6,16,27,57.6,6.1,163,0.8,0.6,7,35,4.9,0.3,,,,,,,,,,,13.9
54,Josh Rosen,,QB,ATL,6,24,36,68.6,6.7,238,1.4,0.8,1,2,1.9,0,,,,,,,,,,,13.7
55,Joe Flacco,,QB,PHI,14,18,29,63.4,6.4,186,1.2,0.9,4,16,3.5,0.2,,,,,,,,,,,13.6
56,Colt McCoy,,QB,ARI,12,20,30,67,6.5,196,1.2,0.7,5,21,4.5,0,,,,,,,,,,,13.4
57,Brandon Allen,,QB,CIN,10,23,39,60.2,6.2,240,1.2,1,0,0,--,0,,,,,,,,,,,12.4
58,Mason Rudolph,,QB,PIT,7,19,31,61.1,6.1,190,0.9,0.9,6,23,3.9,0.1,,,,,,,,,,,12.3
59,Chase Daniel,,QB,LAC,7,15,25,61.1,6.4,158,1.1,0.6,4,11,2.5,0.2,,,,,,,,,,,11.8
60,David Blough,,QB,DET,9,17,30,57.9,6.1,183,0.9,1.1,4,16,3.7,0.1,,,,,,,,,,,10.9
61,Kellen Mond,,QB,MIN,7,15,24,62.3,7.5,182,1.2,0.7,0,0,--,0,,,,,,,,,,,10.7
62,C.J. Beathard,,QB,JAC,7,13,22,58.4,6.5,143,0.8,0.6,1,6,4.5,0,,,,,,,,,,,8.3
63,Case Keenum,,QB,CLE,13,10,16,60.6,6.7,111,0.7,0.5,4,11,2.9,0.1,,,,,,,,,,,8
63,Geno Smith,,QB,SEA,9,10,16,66.2,7,110,0.8,0.5,2,8,3.8,0.1,,,,,,,,,,,8
65,Nick Foles,,QB,CHI,10,0,0,--,--,0,0,0,0,0,--,0,,,,,,,,,,,0
65,Nathan Peterman,,QB,LV,8,0,0,--,--,0,0,0,0,0,--,0,,,,,,,,,,,0
65,Taylor Heinicke,,QB,WAS,9,0,0,--,--,0,0,0,0,0,--,0,,,,,,,,,,,0
65,Tim Boyle,,QB,DET,9,0,0,--,--,0,0,0,0,0,--,0,,,,,,,,,,,0
65,Chris Streveler,,QB,ARI,12,0,0,--,--,0,0,0,0,0,--,0,,,,,,,,,,,0
65,Easton Stick,,QB,LAC,7,0,0,--,--,0,0,0,0,0,--,0,,,,,,,,,,,0
65,Brett Rypien,,QB,DEN,11,0,0,--,--,0,0,0,0,0,--,0,,,,,,,,,,,0
65,Sam Ehlinger,,QB,IND,14,0,0,--,--,0,0,0,0,0,--,0,,,,,,,,,,,0
,Jerick McKinnon,,RB,KC,12,,,,,,,,61,246,4,2,23,17,122,7.3,1.2,,,,,,56
,DeeJay Dallas,,RB,SEA,9,,,,,,,,45,193,4.3,1.1,34,26,192,7.4,1.5,,,,,,54.1
,Joshua Kelley,,RB,LAC,7,,,,,,,,64,242,3.8,2,25,19,138,7.1,0.6,,,,,,53.6
,Chuba Hubbard,,RB,CAR,13,,,,,,,,52,208,4,1.6,30,21,164,7.9,1.1,,,,,,53.4
,Patrick Ricard,,RB,BAL,8,,,,,,,,56,252,4.5,2.1,15,12,99,8.3,0.5,,,,,,50.7
,Jaret Patterson,,RB,WAS,9,,,,,,,,82,301,3.7,2.2,10,8,55,6.5,0.1,,,,,,49.4
,Tarik Cohen,,RB,CHI,10,,,,,,,,31,118,3.8,0.5,44,33,225,6.8,1.4,,,,,,45.7
,Eno Benjamin,,RB,ARI,12,,,,,,,,49,190,3.9,1.2,28,19,147,7.6,0.8,,,,,,45.7
,Marlon Mack,,RB,IND,14,,,,,,,,59,250,4.3,1.7,14,10,67,6.8,0.2,,,,,,43.2
,Jeff Wilson Jr.,,RB,SF,6,,,,,,,,39,154,3.9,1.3,27,19,145,7.7,0.9,,,,,,43.1
,Jake Funk,,RB,LAR,11,,,,,,,,40,164,4.1,1.5,19,14,102,7.5,1,,,,,,41.6
,Matt Breida,,RB,BUF,7,,,,,,,,38,167,4.4,1.3,19,12,120,10,0.5,,,,,,39.4
,Dare Ogunbowale,,RB,JAC,7,,,,,,,,22,87,3.9,0.7,36,25,202,8.1,1,,,,,,39.1
,Chris Evans,,RB,CIN,10,,,,,,,,33,154,4.6,0.7,25,20,142,7.2,0.8,,,,,,38.6
,Larry Rountree III,,RB,LAC,7,,,,,,,,45,184,4.1,0.9,17,13,100,7.5,0.7,,,,,,38
,Kene Nwangwu,,RB,MIN,7,,,,,,,,16,71,4.4,0.2,28,19,151,7.9,1.7,,,,,,33.6
,Jalen Richard,,RB,LV,8,,,,,,,,20,84,4.1,0.6,26,22,171,7.9,0.5,,,,,,32.1
,J.J. Taylor,,RB,NE,14,,,,,,,,38,161,4.2,1.1,16,10,63,6.2,0.4,,,,,,31.4
,Jermar Jefferson,,RB,DET,9,,,,,,,,36,149,4.2,0.9,12,13,90,6.8,0.3,,,,,,31.1
,D'Ernest Johnson,,RB,CLE,13,,,,,,,,36,161,4.5,1,11,8,62,8.2,0.3,,,,,,30.1
,Justice Hill,,RB,BAL,8,,,,,,,,28,130,4.7,0.8,12,8,65,7.7,0.6,,,,,,27.9
,Kylin Hill,,RB,GB,13,,,,,,,,24,117,4.8,0.6,18,12,104,8.9,0,,,,,,25.7
,Gary Brightwell,,RB,NYG,10,,,,,,,,23,88,3.8,1.2,12,8,52,6.7,0.6,,,,,,24.8
,Brian Hill,,RB,TEN,13,,,,,,,,38,162,4.2,0.4,11,8,55,7.3,0.1,,,,,,24.7
,Royce Freeman,,RB,DEN,11,,,,,,,,18,78,4.4,0.6,20,15,91,6.1,0.4,,,,,,22.9
,JaMycal Hasty,,RB,SF,6,,,,,,,,15,59,3.8,0.5,12,10,72,7.4,0.6,,,,,,19.8
,Trenton Cannon,,RB,CAR,13,,,,,,,,8,36,4.7,0.1,18,10,78,7.6,0.2,,,,,,13.2
,Rico Dowdle,,RB,DAL,7,,,,,,,,11,43,4.1,0.2,6,5,40,7.8,0.2,,,,,,10.8
,Zach Pascal,,WR,IND,14,,,,,,,,3,29,8.8,0,65,37,430,11.5,1.7,,,,,,56.1
,Marquise Goodwin,,WR,CHI,10,,,,,,,,1,8,5.9,0.1,54,30,399,13.3,2.2,,,,,,54.5
,Hunter Renfrow,,WR,LV,8,,,,,,,,6,27,4.9,0.2,55,36,411,11.4,1.4,,,,,,53.4
,Freddie Swain,,WR,SEA,9,,,,,,,,1,12,14.9,0,40,30,338,11.3,2.9,,,,,,52.4
,Adam Humphries,,WR,WAS,9,,,,,,,,2,9,5.4,0,59,35,372,10.6,1.7,,,,,,48.3
,Willie Snead IV,,WR,LV,8,,,,,,,,0,0,0,0,46,26,364,13.9,1.9,,,,,,47.8
,Chad Beebe,,WR,MIN,7,,,,,,,,1,9,6.1,0,51,31,355,11.5,1.9,,,,,,47.8
,Denzel Mims,,WR,NYJ,6,,,,,,,,0,0,--,0,60,34,368,10.9,1.8,,,,,,47.6
,Cedrick Wilson,,WR,DAL,7,,,,,,,,0,0,--,0,45,26,323,12.5,2.4,,,,,,46.7
,Scotty Miller,,WR,TB,9,,,,,,,,2,13,6.1,0.2,37,21,291,13.9,2.3,,,,,,45.3
,Dyami Brown,,WR,WAS,9,,,,,,,,2,9,5.4,0,50,30,376,12.6,1,,,,,,44.5
,Preston Williams,,WR,MIA,14,,,,,,,,2,9,4,0.2,44,28,333,11.8,1.4,,,,,,43.8
,N'Keal Harry,,WR,NE,14,,,,,,,,2,14,7.7,0,40,26,301,11.8,1.9,,,,,,42.9
,Donovan Peoples-Jones,,WR,CLE,13,,,,,,,,3,18,6.2,0.3,34,20,271,13.3,1.9,,,,,,42.1
,James Washington,,WR,PIT,7,,,,,,,,1,4,4.2,0.1,46,25,319,12.6,1.5,,,,,,41.9
,Randall Cobb,,WR,GB,13,,,,,,,,1,6,6.8,0,36,26,277,10.7,1.7,,,,,,38.5
,Mack Hollins,,WR,MIA,14,,,,,,,,4,20,4.5,0.1,34,22,254,11.6,1.7,,,,,,38.3
,Christian Blake,,WR,ATL,6,,,,,,,,1,4,3.9,0,49,30,290,9.8,1.2,,,,,,36.6
,Isaiah McKenzie,,WR,BUF,7,,,,,,,,3,0,0,0,31,20,259,12.8,1.5,,,,,,34.9
,Tim Patrick,,WR,DEN,11,,,,,,,,2,10,5.3,0,39,23,249,10.9,1.4,,,,,,34.3
,Ty Montgomery,,WR,NO,6,,,,,,,,3,19,6.6,0,30,21,238,11.5,1.4,,,,,,34.1
,Andy Isabella,,WR,ARI,12,,,,,,,,1,9,6.1,0,40,26,267,10.5,1.1,,,,,,34.1
,Keelan Cole Sr.,,WR,NYJ,6,,,,,,,,2,9,5.2,0,37,22,262,11.9,1,,,,,,33.1
,Greg Ward,,WR,PHI,14,,,,,,,,0,0,--,0,36,18,236,13.2,1.3,,,,,,31.4
,Auden Tate,,WR,CIN,10,,,,,,,,1,4,4.5,0,43,26,271,10.3,0.6,,,,,,31
,Bisi Johnson,,WR,MIN,7,,,,,,,,0,0,--,0,31,15,213,14,1.5,,,,,,30.3
,Tavon Austin,,WR,JAC,7,,,,,,,,0,0,--,0,33,19,215,11.5,1.4,,,,,,29.9
,Eric Ebron,,TE,PIT,7,,,,,,,,0,0,0,0,60,40,377,9.5,3.3,,,,,,57.5
,Tyler Kroft,,TE,NYJ,6,,,,,,,,0,0,--,0,48,34,376,10.9,3.3,,,,,,57.4
,Dalton Schultz,,TE,DAL,7,,,,,,,,0,0,--,0,58,40,404,10.2,2.6,,,,,,56
,Harrison Bryant,,TE,CLE,13,,,,,,,,0,0,--,0,48,30,312,10.5,3.7,,,,,,53.4
,O.J. Howard,,TE,TB,9,,,,,,,,0,0,--,0,55,33,324,9.9,3.3,,,,,,52.2
,Jimmy Graham,,TE,CHI,10,,,,,,,,0,0,0,0,53,32,337,10.4,2.7,,,,,,49.9
