RANK,PLAYER,PLAYER,POS,TEAM,BYE,CMP,ATT,CMP%,Y/A,PassingYDS,PassingTD,PassingINT,RushingAttempts,RushingYDS,RushingY/A,RushingTD,ReceivingTargets,ReceivingREC,ReceivingYDS,ReceivingY/R,ReceivingTD,Interceptions,FumbleRecoveries,Sacks,DefensiveTD,PointsAgainst,YardsAgainst,FGM,FGA,XPM,FPTS
113,Jakobi Meyers,Jakobi Meyers,WR,NE,10,0,0,0,0,0,0,0,0,0,0,0,106,71,779,10.97183099,4,0,0,0,0,0,0,0,0,0,171.8
114,Rhamondre Stevenson,Rhamondre Stevenson,RB,NE,10,0,0,0,0,0,0,0,154,655,4.253246753,6,45,35,269,7.685714286,1,0,0,0,0,0,0,0,0,0,171.1
115,Cordarrelle Patterson,Cordarrelle Patterson,RB,ATL,14,0,0,0,0,0,0,0,134,546,4.074626866,3,60,45,395,8.777777778,2,0,0,0,0,0,0,0,0,0,169.8
116,T.J. Hockenson,T.J. Hockenson,TE,DET,6,0,0,0,0,0,0,0,0,0,0,0,100,68,701,10.30882353,5,0,0,0,0,0,0,0,0,0,168.7
117,Tyler Boyd,Tyler Boyd,WR,CIN,10,0,0,0,0,0,0,0,2,13,6.5,0,96,67,741,11.05970149,4,0,0,0,0,0,0,0,0,0,168.5
118,Russell Gage,Russell Gage,WR,TB,11,0,0,0,0,0,0,0,0,0,0,0,98,65,720,11.07692308,5,0,0,0,0,0,0,0,0,0,168.3
119,Robbie Anderson,Robbie Anderson,WR,CAR,13,0,0,0,0,0,0,0,4,24,6,0,104,56,824,14.71428571,4,0,0,0,0,0,0,0,0,0,164.6
120,Kenny Golladay,Kenny Golladay,WR,NYG,9,0,0,0,0,0,0,0,0,0,0,0,96,51,805,15.78431373,5,0,0,0,0,0,0,0,0,0,164
121,Marvin Jones Jr.,Marvin Jones Jr.,WR,JAX,11,0,0,0,0,0,0,0,0,0,0,0,94,58,683,11.77586207,6,0,0,0,0,0,0,0,0,0,163.1
122,Skyy Moore,Skyy Moore,WR,KC,8,0,0,0,0,0,0,0,0,0,0,0,87,55,706,12.83636364,6,0,0,0,0,0,0,0,0,0,162.3
123,James Robinson,James Robinson,RB,JAX,11,0,0,0,0,0,0,0,169,755,4.467455621,6,36,26,196,7.538461538,1,0,0,0,0,0,0,0,0,0,161.3
124,Jahan Dotson,Jahan Dotson,WR,WSH,14,0,0,0,0,0,0,0,0,0,0,0,93,57,745,13.07017544,5,0,0,0,0,0,0,0,0,0,160.9
125,Rashaad Penny,Rashaad Penny,RB,SEA,11,0,0,0,0,0,0,0,169,810,4.792899408,5,34,26,195,7.5,1,0,0,0,0,0,0,0,0,0,158.7
126,AJ Dillon,AJ Dillon,RB,GB,14,0,0,0,0,0,0,0,174,746,4.287356322,5,34,28,207,7.392857143,1,0,0,0,0,0,0,0,0,0,157.2
127,Jarvis Landry,Jarvis Landry,WR,NO,14,2,3,0.6666666667,9,18,0,0,0,1,0,0,95,58,745,12.84482759,4,0,0,0,0,0,0,0,0,0,155.3
128,Jalen Tolbert,Jalen Tolbert,WR,DAL,9,0,0,0,0,0,0,0,0,0,0,0,85,52,702,13.5,5,0,0,0,0,0,0,0,0,0,154.9
129,Nico Collins,Nico Collins,WR,HOU,6,0,0,0,0,0,0,0,0,0,0,0,95,57,748,13.12280702,4,0,0,0,0,0,0,0,0,0,154.3
130,Chase Edmonds,Chase Edmonds,RB,MIA,11,0,0,0,0,0,0,0,100,468,4.68,3,62,48,334,6.958333333,2,0,0,0,0,0,0,0,0,0,153.9
131,Van Jefferson,Van Jefferson,WR,LAR,7,0,0,0,0,0,0,0,4,27,6.75,0,83,48,701,14.60416667,5,0,0,0,0,0,0,0,0,0,153.6
132,Mecole Hardman,Mecole Hardman,WR,KC,8,0,0,0,0,0,0,0,11,71,6.454545455,1,69,48,623,12.97916667,5,0,0,0,0,0,0,0,0,0,152.2
133,Dallas Goedert,Dallas Goedert,TE,PHI,7,0,0,0,0,0,0,0,0,0,0,0,82,58,688,11.86206897,4,0,0,0,0,0,0,0,0,0,151.3
134,Drew Lock,Drew Lock,QB,SEA,11,222,347,0.6397694524,7.224783862,2507,12,9,34,141,4.147058824,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.1
135,DeAndre Hopkins,DeAndre Hopkins,WR,ARI,13,0,0,0,0,0,0,0,0,0,0,0,82,57,664,11.64912281,5,0,0,0,0,0,0,0,0,0,150.2
136,Joshua Palmer,Joshua Palmer,WR,LAC,8,0,0,0,0,0,0,0,0,0,0,0,83,54,630,11.66666667,5,0,0,0,0,0,0,0,0,0,149.5
137,Zach Ertz,Zach Ertz,TE,ARI,13,0,0,0,0,0,0,0,0,0,0,0,89,59,619,10.49152542,5,0,0,0,0,0,0,0,0,0,147.9
138,Marquez Valdes-Scantling,Marquez Valdes-Scantling,WR,KC,8,0,0,0,0,0,0,0,2,11,5.5,0,75,39,748,19.17948718,5,0,0,0,0,0,0,0,0,0,147.5
139,Michael Carter,Michael Carter,RB,NYJ,10,0,0,0,0,0,0,0,99,424,4.282828283,3,61,43,367,8.534883721,2,0,0,0,0,0,0,0,0,0,146.7
140,DJ Chark,DJ Chark,WR,DET,6,0,0,0,0,0,0,0,0,0,0,0,86,47,705,15,5,0,0,0,0,0,0,0,0,0,146.6
141,Mike Gesicki,Mike Gesicki,TE,MIA,11,0,0,0,0,0,0,0,0,0,0,0,89,56,622,11.10714286,5,0,0,0,0,0,0,0,0,0,146
142,Hunter Henry,Hunter Henry,TE,NE,10,0,0,0,0,0,0,0,0,0,0,0,78,52,563,10.82692308,6,0,0,0,0,0,0,0,0,0,145.2
143,Melvin Gordon III,Melvin Gordon III,RB,DEN,9,0,0,0,0,0,0,0,139,604,4.345323741,6,33,25,187,7.48,1,0,0,0,0,0,0,0,0,0,145
144,Cedrick Wilson Jr.,Cedrick Wilson Jr.,WR,MIA,11,0,0,0,0,0,0,0,0,0,0,0,82,54,655,12.12962963,4,0,0,0,0,0,0,0,0,0,144.3
145,Pat Freiermuth,Pat Freiermuth,TE,PIT,9,0,0,0,0,0,0,0,0,0,0,0,88,63,563,8.936507937,4,0,0,0,0,0,0,0,0,0,144.1
146,DeVante Parker,DeVante Parker,WR,NE,10,0,0,0,0,0,0,0,0,0,0,0,90,51,692,13.56862745,4,0,0,0,0,0,0,0,0,0,143.7
147,Nyheim Hines,Nyheim Hines,RB,IND,14,0,0,0,0,0,0,0,60,266,4.433333333,2,70,52,408,7.846153846,2,0,0,0,0,0,0,0,0,0,143
148,Rondale Moore,Rondale Moore,WR,ARI,13,0,0,0,0,0,0,0,21,117,5.571428571,1,72,54,544,10.07407407,3,0,0,0,0,0,0,0,0,0,142.1
149,Wan'Dale Robinson,Wan'Dale Robinson,WR,NYG,9,0,0,0,0,0,0,0,12,72,6,1,82,53,609,11.49056604,3,0,0,0,0,0,0,0,0,0,141.2
150,Nick Westbrook-Ikhine,Nick Westbrook-Ikhine,WR,TEN,6,0,0,0,0,0,0,0,0,0,0,0,84,52,659,12.67307692,4,0,0,0,0,0,0,0,0,0,140.9
151,Marcus Mariota,Marcus Mariota,QB,ATL,14,188,293,0.6416382253,7.228668942,2118,10,7,43,252,5.860465116,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.8
152,Alec Pierce,Alec Pierce,WR,IND,14,0,0,0,0,0,0,0,0,0,0,0,80,49,659,13.44897959,4,0,0,0,0,0,0,0,0,0,140.5
153,Noah Fant,Noah Fant,TE,SEA,11,0,0,0,0,0,0,0,0,0,0,0,85,60,616,10.26666667,3,0,0,0,0,0,0,0,0,0,139.2
154,J.D. McKissic,J.D. McKissic,RB,WSH,14,0,0,0,0,0,0,0,62,278,4.483870968,2,65,50,389,7.78,1,0,0,0,0,0,0,0,0,0,138.6
155,George Pickens,George Pickens,WR,PIT,9,0,0,0,0,0,0,0,0,0,0,0,88,53,681,12.8490566,3,0,0,0,0,0,0,0,0,0,138
