RANK,PLAYER,POS,TEAM,BYE,CMP,ATT,CMP%,Y/A,PassingYDS,PassingTD,PassingINT,RushingAttempts,RushingYDS,RushingY/A,RushingTD,ReceivingTargets,ReceivingREC,ReceivingYDS,ReceivingY/R,ReceivingTD,Fumbles,Interceptions,FumbleRecoveries,Sacks,DefensiveTD,PointsAgainst,YardsAgainst,FGM,FGA,XPM,FPTS
267,Cooper Kupp,WR,LAR,10,0,0,0,0,0,0,0,7.9,73.2,9.265822785,0.8,0,108,1345.70,12.46018519,8.3,0.8,0,0,0,0,0,0,0,0,0,194.8
268,Tyreek Hill,WR,MIA,10,0,0,0,0,0,0,0,9.2,55.7,6.054347826,0.6,0,105.5,1395.50,13.22748815,7.8,0.4,0,0,0,0,0,0,0,0,0,194.6
269,CeeDee Lamb,WR,DAL,7,0,0,0,0,0,0,0,8.7,55.8,6.413793103,0.3,0,99,1294.40,13.07474747,7.7,0.3,0,0,0,0,0,0,0,0,0,182
270,Davante Adams,WR,LV,13,0,0,0,0,0,0,0,1.8,7.6,4.222222222,0.1,0,93.6,1264.40,13.50854701,8.5,0.3,0,0,0,0,0,0,0,0,0,178
271,Stefon Diggs,WR,BUF,13,0,0,0,0,0,0,0,0.6,3.2,5.333333333,0,0,97.2,1273.80,13.10493827,8.4,0.4,0,0,0,0,0,0,0,0,0,177.2
272,A.J. Brown,WR,PHI,10,0,0,0,0,0,0,0,0.3,3.8,12.66666667,0,0,77.8,1195.00,15.35989717,8.3,0.6,0,0,0,0,0,0,0,0,0,168.8
273,Jaylen Waddle,WR,MIA,10,0,0,0,0,0,0,0,4.1,34,8.292682927,0.3,0,79.6,1155.50,14.51633166,6.4,0.7,0,0,0,0,0,0,0,0,0,157.6
274,Amon-Ra St. Brown,WR,DET,9,0,0,0,0,0,0,0,8,62.7,7.8375,0.5,0,101,1140.10,11.28811881,5.7,0.2,0,0,0,0,0,0,0,0,0,157.1
275,Garrett Wilson,WR,NYJ,7,0,0,0,0,0,0,0,2.4,6.3,2.625,0,0,83.5,1132.60,13.56407186,6.4,0.8,0,0,0,0,0,0,0,0,0,150.9
276,Deebo Samuel,WR,SF,9,0,0,0,0,0,0,0,42.3,252.4,5.966903073,2.4,0,68.9,892.5,12.95355588,4.1,1.4,0,0,0,0,0,0,0,0,0,150.6
277,Tee Higgins,WR,CIN,7,0,0,0,0,0,0,0,0.5,2.4,4.8,0,0,80.5,1081.50,13.43478261,6.7,0.3,0,0,0,0,0,0,0,0,0,147.8
