PLAYER,CA,PassingYDS,PassingTD,PassingINT,RushingCAR,RushingYDS,RushingTD,REC,ReceivingYDS,ReceivingTD,ReceivingTAR,TWOPC,FUML,TD,FPTS,AVG
"Dare Ogunbowale
TBRB",0/0,0,0,0,11,17,2,35,286,0,47,0,1,0,75.3,4.7
"Alexander Mattison
MinRB",0/0,0,0,0,100,462,1,10,82,0,12,0,1,0,68.4,5.3
"Giovani Bernard
CinRB",0/0,0,0,0,53,170,0,30,234,0,43,0,1,0,68.4,4.3
"Patrick Laird
MiaRB",0/0,0,0,0,62,168,1,23,204,0,30,1,0,0,68.2,4.5
"Darrel Williams
KCRB",0/0,0,0,0,41,141,3,15,167,1,19,0,1,0,67.8,5.6
"Brian Hill
AtlRB",0/0,0,0,0,78,323,2,10,69,1,14,0,0,0,67.2,5.6
"Dion Lewis
NYGRB",0/0,0,0,0,54,209,0,25,164,1,32,0,1,0,66.3,4.1
"Ty Johnson
DetRB",0/0,0,0,0,63,273,0,24,109,0,31,0,1,0,60.2,3.8
"Malcolm Brown
LARRB",0/0,0,0,0,69,255,5,2,16,0,6,0,0,0,59.1,4.2
"Benny Snell Jr.
PitRB",0/0,0,0,0,108,426,2,3,23,0,4,0,1,0,57.9,4.5
"Derrius Guice
FARB",0/0,0,0,0,42,245,2,7,79,1,9,0,0,0,--,11.5
"Jordan Wilkins
IndRB",0/0,0,0,0,51,307,2,7,43,0,11,0,0,0,54,3.9
"Kalen Ballage
MiaRB",0/0,0,0,0,74,135,3,14,63,0,24,0,0,0,51.8,4.3
"Ryquell Armstead
JaxRB",0/0,0,0,0,35,108,0,14,144,2,24,0,0,0,51.2,3.4
"Brandon Bolden
NERB",0/0,0,0,0,15,68,3,9,111,1,11,0,0,0,50.9,3.4
"Kyle Juszczyk
SFRB",0/0,0,0,0,3,7,0,20,239,1,24,0,0,0,50.6,4.2
"Mike Boone
MinRB",0/0,0,0,0,49,273,3,3,17,0,4,0,0,0,50,3.1
"Justice Hill
BalRB",0/0,0,0,0,58,225,2,8,70,0,15,0,0,0,49.5,3.1
"Wayne Gallman
NYGRB",0/0,0,0,0,29,110,2,11,102,1,14,0,1,0,48.2,4.8
"Jeff Wilson Jr.
SFRB",0/0,0,0,0,27,105,4,3,34,1,5,0,0,0,46.9,4.7
"Bo Scarbrough
DetRB",0/0,0,0,0,89,377,1,1,5,0,4,0,1,0,43.2,7.2
"Mark Walton
MiaRB",0/0,0,0,0,53,201,0,15,89,0,21,0,1,0,42,6
"Jonathan Williams
DetRB",0/0,0,0,0,49,235,1,5,59,0,5,0,0,0,40.4,4.5
"Ameer Abdullah
MinRB",0/0,0,0,0,23,115,0,15,88,1,20,0,1,0,39.3,2.5
"Dontrell Hilliard
CleRB",0/0,0,0,0,13,49,2,12,92,0,15,0,0,0,38.1,2.7
"C.J. Ham
MinRB",0/0,0,0,0,7,17,0,17,149,1,24,0,1,0,37.6,2.4
"Ito Smith
AtlRB",0/0,0,0,0,22,106,1,11,87,0,14,0,0,0,36.3,5.2
"Bilal Powell
FARB",0/1,0,0,0,59,229,0,7,33,0,12,0,0,0,--,2.6
"Ty Montgomery
NORB",0/0,0,0,0,32,103,0,13,90,0,17,0,0,0,32.3,2
"Darwin Thompson
KCRB",0/0,0,0,0,37,128,1,9,43,0,10,0,0,0,32.1,2.7
"Myles Gaskin
MiaRB",0/0,0,0,0,36,133,1,7,51,0,12,0,0,0,31.4,4.5
"Justin Jackson
LACRB",0/0,0,0,0,29,200,0,9,22,0,11,0,0,0,31.2,4.5
"Qadree Ollison
AtlRB",0/0,0,0,0,22,50,4,1,7,0,2,0,0,0,30.7,3.8
"T.J. Yeldon
BufRB",0/0,0,0,0,17,63,0,13,124,0,15,0,1,0,29.7,5
"Reggie Bonnafon
CarRB",0/0,0,0,0,16,116,1,6,57,0,9,0,0,0,29.3,1.8
"C.J. Prosise
FARB",0/0,0,0,0,23,72,1,10,76,0,12,0,1,0,--,3.2
"Travis Homer
SeaRB",0/0,0,0,0,18,114,0,11,56,0,13,0,0,0,28,1.8
"Wendell Smallwood
PitRB",0/0,0,0,0,22,81,0,9,64,0,13,0,0,0,23.5,1.6
"Darrell Henderson Jr.
LARRB",0/0,0,0,0,39,147,0,4,37,0,6,0,0,0,22.4,1.7
"Trey Edmunds
PitRB",0/0,0,0,0,22,92,0,6,48,0,7,0,0,0,20,1.8
"Patrick Ricard
BalDT, RB",0/0,0,0,0,0,0,0,8,47,1,11,0,0,0,18.7,1.2
"Alec Ingold
LVRB",0/0,0,0,0,10,17,0,6,44,1,6,0,0,0,18.1,1.1
