PLAYER,C/A,YDS,TD,INT,CAR,YDS,TD,REC,YDS,TD,TAR,2PC,FUML,TD,FPTS,AVG
"Alshon JefferyO
PhiWR",0/0,0,0,0,1,2,1,43,490,4,73,0,0,0,122.2,12.2
"Kenny Stills
HouWR",0/0,0,0,0,0,0,0,40,561,4,55,0,0,0,120.1,9.2
"Mecole Hardman
KCWR",0/0,0,0,0,4,17,0,26,538,6,41,0,2,1,119.5,7.5
"Brandin Cooks
HouWR",0/0,0,0,0,6,52,0,42,583,2,72,0,0,0,117.5,8.4
"Corey Davis
TenWR",0/0,0,0,0,0,0,0,43,601,2,69,0,0,0,115.1,7.7
"Adam Thielen
MinWR",0/0,0,0,0,4,6,1,30,418,6,47,0,0,0,114.4,11.4
"JuJu Smith-Schuster
PitWR",0/0,0,0,0,0,0,0,42,552,3,71,0,1,0,113.2,9.4
"Steven Sims Jr.
WshWR",0/1,0,0,0,9,85,1,34,310,4,56,0,0,1,109.5,6.8
"Allen Lazard
GBWR",0/0,0,0,0,1,21,0,35,477,3,52,0,0,0,102.8,6.4
"Auden Tate
CinWR",0/0,0,0,0,0,0,0,40,575,1,80,0,1,0,101.5,8.5
"Demarcus Robinson
KCWR",0/0,0,0,0,0,0,0,32,449,4,55,0,0,0,100.9,6.3
"Phillip Dorsett II
SeaWR",0/0,0,0,0,3,21,0,29,397,5,54,0,0,0,100.8,7.2
"Russell Gage
AtlWR",0/0,0,0,0,4,12,0,49,446,1,74,0,1,0,98.8,6.2
"Kendrick Bourne
SFWR",0/0,0,0,0,0,0,0,30,358,5,44,1,0,0,97.8,6.1
"Alex Erickson
CinWR",1/1,26,0,0,5,33,0,43,529,0,78,0,2,0,96.24,6
"Willie Snead IV
BalWR",0/0,0,0,0,2,2,0,31,339,5,46,0,0,0,95.1,5.9
"John Ross IIIO
CinWR",0/0,0,0,0,3,4,0,28,506,3,56,0,1,0,95,11.9
"Nelson Agholor
LVWR",0/0,0,0,0,2,7,0,39,363,3,68,1,1,0,94,8.5
"Preston WilliamsQ
MiaWR",0/0,0,0,0,0,0,0,32,428,3,60,0,1,0,90.8,11.4
"Taylor Gabriel
ChiWR",0/0,0,0,0,3,20,0,29,353,4,48,0,0,0,90.3,10
"Albert WilsonO
MiaWR",1/2,20,0,0,5,45,0,43,351,1,62,0,0,0,89.4,6.9
"Adam Humphries
TenWR",0/0,0,0,0,1,1,0,37,374,2,47,0,0,0,86.5,7.2
"Ted Ginn Jr.
ChiWR",0/0,0,0,0,3,18,0,30,421,2,56,0,0,0,85.9,5.4
"Demaryius Thomas
FAWR",0/0,0,0,0,0,0,0,36,433,1,58,0,0,0,--,7.8
"Marquez Valdes-Scantling
GBWR",0/0,0,0,0,2,9,0,26,452,2,54,0,0,0,84.1,5.3
"Allen Hurns
MiaWR",0/0,0,0,0,0,0,0,32,416,2,48,0,1,0,83.6,6
"Tajae Sharpe
MinWR",0/0,0,0,0,0,0,0,25,329,4,35,0,0,0,81.9,5.5
"Bisi Johnson
MinWR",0/0,0,0,0,1,6,0,31,294,3,45,0,0,0,79,4.9
"Keelan Cole
JaxWR",0/0,0,0,0,1,6,0,24,361,3,35,0,0,0,78.7,4.9
"Geronimo Allison
DetWR",0/0,0,0,0,1,7,0,34,287,2,55,1,1,0,75.4,4.7
"Josh Gordon
FAWR",0/1,0,0,1,1,1,0,27,426,1,47,0,0,0,--,6.7
"Damiere Byrd
NEWR",0/0,0,0,0,0,0,0,32,359,1,46,0,1,0,71.9,6.5
"Tre'Quan Smith
NOWR",0/0,0,0,0,0,0,0,18,234,5,25,0,0,0,71.4,6.5
"Kelvin Harmon
WshWR",1/1,11,0,0,0,0,0,30,365,0,44,0,0,0,66.94,4.2
"Cody Latimer
WshWR",0/0,0,0,0,0,0,0,24,300,2,41,0,0,0,66,4.4
"Paul Richardson Jr.
WshWR",0/0,0,0,0,1,0,0,28,245,2,42,0,0,0,64.5,6.5
"DaeSean Hamilton
DenWR",0/0,0,0,0,0,0,0,28,297,1,52,0,0,0,63.7,4
"Isaiah McKenzie
BufWR",0/0,0,0,0,8,49,0,27,254,1,39,0,0,0,63.3,4.2
"Josh Reynolds
LARWR",0/0,0,0,0,5,23,0,21,326,1,40,0,0,0,61.9,3.9
"Jakobi Meyers
NEWR",0/0,0,0,0,0,0,0,26,359,0,41,0,0,0,61.9,4.1
"Seth Roberts
CarWR",0/0,0,0,0,0,0,0,21,271,2,32,0,0,0,60.1,3.8
"Greg Ward
PhiWR",0/0,0,0,0,1,5,0,28,254,1,40,0,0,0,59.9,8.6
